Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Aaron Wiggins (21604015),Aaron Wiggins,21604015,SG/SF/F/G/UTIL,3400,OKC@MIN 03/09/2022 08:00PM ET,OKC,14.87
PG,Michael Carter-Williams (21604003),Michael Carter-Williams,21604003,PG/G/UTIL,3400,ORL@NOP 03/09/2022 08:00PM ET,ORL,0
SF,Naji Marshall (21604012),Naji Marshall,21604012,SF/F/UTIL,3400,ORL@NOP 03/09/2022 08:00PM ET,NOP,9.66
C,Khem Birch (21603982),Khem Birch,21603982,C/UTIL,3400,TOR@SAS 03/09/2022 08:30PM ET,TOR,13.87
PG/SG,Joshua Primo (21603992),Joshua Primo,21603992,PG/SG/G/UTIL,3400,TOR@SAS 03/09/2022 08:30PM ET,SAS,11.34
SF/PF,Jalen McDaniels (21604032),Jalen McDaniels,21604032,SF/PF/F/UTIL,3300,BOS@CHA 03/09/2022 07:00PM ET,CHA,14.28
SF/PF,Cam Reddish (21604040),Cam Reddish,21604040,SF/PF/F/UTIL,3300,NYK@DAL 03/09/2022 08:30PM ET,NYK,16.91
PF,Davis Bertans (21604052),Davis Bertans,21604052,PF/F/UTIL,3300,NYK@DAL 03/09/2022 08:30PM ET,DAL,10.48
SF/PF,Stanley Johnson (21604058),Stanley Johnson,21604058,SF/PF/F/UTIL,3300,LAL@HOU 03/09/2022 08:00PM ET,LAL,14.87
C,Richaun Holmes (21604030),Richaun Holmes,21604030,C/UTIL,3300,DEN@SAC 03/09/2022 10:00PM ET,SAC,23.95
SF,Davon Reed (21604062),Davon Reed,21604062,SF/F/UTIL,3300,DEN@SAC 03/09/2022 10:00PM ET,DEN,10.30
PF,Rudy Gay (21604055),Rudy Gay,21604055,PF/F/UTIL,3300,POR@UTA 03/09/2022 10:00PM ET,UTA,17.46
PG,Theo Maledon (21604049),Theo Maledon,21604049,PG/G/UTIL,3300,OKC@MIN 03/09/2022 08:00PM ET,OKC,10.37
SF/PF,Jake Layman (21604065),Jake Layman,21604065,SF/PF/F/UTIL,3300,OKC@MIN 03/09/2022 08:00PM ET,MIN,4.76
SF/PF,Tony Snell (21604036),Tony Snell,21604036,SF/PF/F/UTIL,3300,ORL@NOP 03/09/2022 08:00PM ET,NOP,8.12
SG/SF,Gary Harris (21604044),Gary Harris,21604044,SG/SF/F/G/UTIL,3300,ORL@NOP 03/09/2022 08:00PM ET,ORL,19.08
C,Jock Landale (21604028),Jock Landale,21604028,C/UTIL,3300,TOR@SAS 03/09/2022 08:30PM ET,SAS,10.03
PG,Payton Pritchard (21604074),Payton Pritchard,21604074,PG/G/UTIL,3200,BOS@CHA 03/09/2022 07:00PM ET,BOS,10.77
SG,Frank Jackson (21604080),Frank Jackson,21604080,SG/G/UTIL,3200,CHI@DET 03/09/2022 07:00PM ET,DET,16.03
SF,Garrison Mathews (21604083),Garrison Mathews,21604083,SF/F/UTIL,3200,LAL@HOU 03/09/2022 08:00PM ET,HOU,19.57
PF,Rui Hachimura (21604077),Rui Hachimura,21604077,PF/F/UTIL,3200,WAS@LAC 03/09/2022 10:30PM ET,WAS,16.38
C,Nathan Knight (21604091),Nathan Knight,21604091,C/UTIL,3200,OKC@MIN 03/09/2022 08:00PM ET,MIN,7.27
PG,Jose Alvarado (21604071),Jose Alvarado,21604071,PG/G/UTIL,3200,ORL@NOP 03/09/2022 08:00PM ET,NOP,12.63
SG/SF,Terrence Ross (21604086),Terrence Ross,21604086,SG/SF/F/G/UTIL,3200,ORL@NOP 03/09/2022 08:00PM ET,ORL,17.62
C,Zach Collins (21604069),Zach Collins,21604069,C/UTIL,3200,TOR@SAS 03/09/2022 08:30PM ET,SAS,15.98
PG/SG,James Bouknight (21604101),James Bouknight,21604101,PG/SG/G/UTIL,3100,BOS@CHA 03/09/2022 07:00PM ET,CHA,9.02
SF,Rodney McGruder (21604116),Rodney McGruder,21604116,SF/F/UTIL,3100,CHI@DET 03/09/2022 07:00PM ET,DET,9.48
SF,Anthony Gill (21604119),Anthony Gill,21604119,SF/F/UTIL,3100,WAS@LAC 03/09/2022 10:30PM ET,WAS,6.88
PG,Facundo Campazzo (21604110),Facundo Campazzo,21604110,PG/G/UTIL,3100,DEN@SAC 03/09/2022 10:00PM ET,DEN,16.33
SF/PF,Danuel House Jr. (21604097),Danuel House Jr.,21604097,SF/PF/F/UTIL,3100,POR@UTA 03/09/2022 10:00PM ET,UTA,12.11
C,Omer Yurtseven (21604093),Omer Yurtseven,21604093,C/UTIL,3100,PHX@MIA 03/09/2022 07:30PM ET,MIA,15.42
PG,Jevon Carter (21604113),Jevon Carter,21604113,PG/G/UTIL,3100,ATL@MIL 03/09/2022 08:00PM ET,MIL,8.59
C,Derrick Favors (21604095),Derrick Favors,21604095,C/UTIL,3100,OKC@MIN 03/09/2022 08:00PM ET,OKC,13.58
SG/SF,Yuta Watanabe (21604105),Yuta Watanabe,21604105,SG/SF/F/G/UTIL,3100,TOR@SAS 03/09/2022 08:30PM ET,TOR,10.82
SF/PF,Arnoldas Kulboka (21604141),Arnoldas Kulboka,21604141,SF/PF/F/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,CHA,0
SG,Scottie Lewis (21604157),Scottie Lewis,21604157,SG/G/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,CHA,2.25
PF,JT Thor (21604171),JT Thor,21604171,PF/F/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,CHA,7.21
C,Kai Jones (21604214),Kai Jones,21604214,C/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,CHA,2
C,Nick Richards (21604216),Nick Richards,21604216,C/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,CHA,7.31
C,Luke Kornet (21604248),Luke Kornet,21604248,C/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,BOS,3.62
PG/SG,Jalen Crutcher (21604380),Jalen Crutcher,21604380,PG/SG/G/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,CHA,0
PG/SG,D.J. Carton (21604384),D.J. Carton,21604384,PG/SG/G/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,CHA,0
SG/SF,Aaron Nesmith (21604574),Aaron Nesmith,21604574,SG/SF/F/G/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,BOS,6.86
PG,Brodric Thomas (21604633),Brodric Thomas,21604633,PG/G/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,BOS,3.33
PF,Sam Hauser (21604774),Sam Hauser,21604774,PF/F/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,BOS,3.65
PF,Jabari Parker (21604777),Jabari Parker,21604777,PF/F/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,BOS,8.92
PF,Al-Farouq Aminu (21604780),Al-Farouq Aminu,21604780,PF/F/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,BOS,0
PF,Malik Fitts (21604783),Malik Fitts,21604783,PF/F/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,BOS,2.47
SG,LiAngelo Ball (21604837),LiAngelo Ball,21604837,SG/G/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,CHA,0
SG,Juhann Begarin (21604897),Juhann Begarin,21604897,SG/G/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,BOS,0
SG,Nik Stauskas (21604945),Nik Stauskas,21604945,SG/G/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,BOS,8.62
SF,C.J. Miles (21604972),C.J. Miles,21604972,SF/F/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,BOS,0
SF,Matt Ryan (21604975),Matt Ryan,21604975,SF/F/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,BOS,0
SF,Kelan Martin (21604978),Kelan Martin,21604978,SF/F/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,BOS,11.36
SF,Joe Johnson (21604981),Joe Johnson,21604981,SF/F/UTIL,3000,BOS@CHA 03/09/2022 07:00PM ET,BOS,2
PG,Derrick Walton Jr. (21604131),Derrick Walton Jr.,21604131,PG/G/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,DET,27
C,Luka Garza (21604218),Luka Garza,21604218,C/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,DET,10.61
C,Balsa Koprivica (21604220),Balsa Koprivica,21604220,C/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,DET,0
C,Tony Bradley (21604250),Tony Bradley,21604250,C/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,CHI,9.81
SF/PF,Micah Potter (21604284),Micah Potter,21604284,SF/PF/F/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,DET,8.92
SF/PF,Jamorko Pickett (21604288),Jamorko Pickett,21604288,SF/PF/F/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,DET,2.79
SF/PF,Troy Brown Jr. (21604304),Troy Brown Jr.,21604304,SF/PF/F/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,CHI,11.62
SF/PF,Troy Baxter (21604308),Troy Baxter,21604308,SF/PF/F/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,CHI,0
PF/C,Tyler Cook (21604356),Tyler Cook,21604356,PF/C/F/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,CHI,7.68
PF/C,Marko Simonovic (21604360),Marko Simonovic,21604360,PF/C/F/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,CHI,3.67
PG/SG,Devon Dotson (21604452),Devon Dotson,21604452,PG/SG/G/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,CHI,5.75
PG/SG,Ethan Thompson (21604456),Ethan Thompson,21604456,PG/SG/G/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,CHI,0
PG/SG,Mac McClung (21604460),Mac McClung,21604460,PG/SG/G/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,CHI,1.5
SG/SF,Malcolm Hill (21604544),Malcolm Hill,21604544,SG/SF/F/G/UTIL,3000,CHI@DET 03/09/2022 07:00PM ET,CHI,8.29
